latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.2474,6.8438,300.9,1.1,1,2023-01-03,2115,Terra,MODIS,34,61.03,270.8,9.9,N,2
52.1562,10.3998,310.7,1.5,1.2,2023-01-03,2116,Terra,MODIS,81,61.03,276.5,27.6,N,2
51.3604,6.7003,300.6,1.2,1.1,2023-01-07,1250,Aqua,MODIS,35,61.03,271.4,8.6,D,2
53.5187,9.9033,302.1,1.3,1.1,2023-01-08,1155,Aqua,MODIS,0,61.03,280.8,12.2,D,2
51.3706,6.7088,304.6,1.1,1,2023-01-10,0208,Aqua,MODIS,61,61.03,278,12,N,2
51.3653,6.7058,320.2,1.1,1,2023-01-11,1223,Aqua,MODIS,60,61.03,283.8,23.7,D,2
51.4822,6.7363,300.9,2,1.4,2023-01-13,0237,Aqua,MODIS,35,61.03,279,22.5,N,2
51.4839,6.727,303.2,1,1,2023-01-13,1024,Terra,MODIS,0,61.03,279.5,7.8,D,2
51.3662,6.7073,300.3,1,1,2023-01-13,1024,Terra,MODIS,30,61.03,280.7,7.1,D,2
51.486,6.713,306.7,1,1,2023-01-13,1024,Terra,MODIS,0,61.03,280.1,10.4,D,2
51.3701,6.7136,317.8,1.2,1.1,2023-01-14,0142,Aqua,MODIS,96,61.03,269.5,26.9,N,2
51.3702,6.7088,302.3,1.2,1.1,2023-01-15,1008,Terra,MODIS,0,61.03,278.6,11.4,D,2
51.3684,6.7094,305,1,1,2023-01-17,2102,Terra,MODIS,62,61.03,272.4,12.1,N,2
51.488,6.7029,301.6,1,1,2023-01-17,2102,Terra,MODIS,24,61.03,273.1,9,N,2
52.1531,10.4015,301.9,1.2,1.1,2023-01-17,2102,Terra,MODIS,45,61.03,269,12.5,N,2
51.4914,6.7336,301.1,1,1,2023-01-18,1226,Aqua,MODIS,38,61.03,277.4,8.7,D,2
53.1175,8.6943,301.4,1,1,2023-01-18,1227,Aqua,MODIS,35,61.03,275,9,D,2
51.4913,6.7412,313,1.2,1.1,2023-01-19,2046,Terra,MODIS,86,61.03,272.8,21.3,N,2
51.4883,6.7249,303.6,1.2,1.1,2023-01-19,2046,Terra,MODIS,56,61.03,273.1,13.7,N,2
52.1579,10.4103,300.6,1,1,2023-01-20,1017,Terra,MODIS,39,61.03,273.7,8.7,D,2
51.4862,6.7073,301.5,1.1,1.1,2023-01-21,0145,Aqua,MODIS,40,61.03,271.7,11,N,2
51.4843,6.7234,303.8,1.1,1.1,2023-01-21,0145,Aqua,MODIS,55,61.03,271.4,12.3,N,2
51.4838,6.7015,305.9,1.1,1.1,2023-01-31,2049,Terra,MODIS,66,61.03,276.4,13.8,N,2
53.1367,8.6862,305.5,1,1,2023-02-04,0149,Aqua,MODIS,65,61.03,273.9,12.1,N,2
51.3639,6.7056,304.4,1.4,1.2,2023-02-04,1301,Aqua,MODIS,0,61.03,282.3,15.3,D,2
52.1561,14.6446,319.6,1.1,1.1,2023-02-04,2017,Terra,MODIS,99,61.03,269.4,27.1,N,2
51.3691,6.7016,305.9,1,1,2023-02-05,2058,Terra,MODIS,66,61.03,277.1,11.6,N,2
51.4846,6.725,325.6,1,1,2023-02-05,2058,Terra,MODIS,100,61.03,276.3,28.6,N,2
51.4824,6.7109,329.6,1,1,2023-02-05,2058,Terra,MODIS,100,61.03,276.7,32.9,N,2
51.4948,6.7473,312.5,1.4,1.2,2023-02-06,0136,Aqua,MODIS,58,61.03,273.1,23.9,N,2
51.3676,6.7122,308.2,1.3,1.1,2023-02-07,2042,Terra,MODIS,74,61.03,274.1,20.4,N,2
51.3643,6.6945,303.1,1.3,1.1,2023-02-07,2042,Terra,MODIS,53,61.03,271.7,15.8,N,2
52.1502,10.3984,301.8,1,1,2023-02-07,2042,Terra,MODIS,42,61.03,270.1,9.8,N,2
52.1737,14.6211,302.5,1.2,1.1,2023-02-08,1012,Terra,MODIS,52,61.03,272.8,13,D,2
52.1705,14.6381,306,1.2,1.1,2023-02-08,1012,Terra,MODIS,63,61.03,272.2,15.6,D,2
52.1532,10.3997,308.6,1,1,2023-02-08,1012,Terra,MODIS,67,61.03,275.2,13.1,D,2
51.4809,6.7227,316,1.1,1,2023-02-08,1013,Terra,MODIS,46,61.03,276.8,18.2,D,2
48.3709,11.5403,312.9,1.1,1.1,2023-02-08,1013,Terra,MODIS,69,61.03,271.3,20,D,0
51.4873,6.7383,301.7,1,1,2023-02-08,1234,Aqua,MODIS,32,61.03,281.8,6.6,D,2
51.4872,6.7206,304.5,1,1,2023-02-09,0205,Aqua,MODIS,60,61.03,271.8,12,N,2
52.1551,10.408,302.4,1.2,1.1,2023-02-09,0205,Aqua,MODIS,39,61.03,268.9,14.1,N,2
51.3663,6.7108,306.9,1,1,2023-02-09,0205,Aqua,MODIS,70,61.03,271,13.9,N,2
