latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
53.13398,8.68222,330.16,0.39,0.36,2023-01-01,0131,N,VIIRS,n,2,261.52,4.91,N,2
52.15857,10.39515,296.18,0.38,0.36,2023-01-01,0131,N,VIIRS,n,2,281.11,1.4,N,2
52.15678,10.40619,310.18,0.38,0.36,2023-01-01,0131,N,VIIRS,n,2,278.92,1.03,N,2
52.15353,10.40479,305.34,0.38,0.36,2023-01-01,0131,N,VIIRS,n,2,276.49,0.96,N,0
52.15118,10.39787,311.24,0.38,0.36,2023-01-01,0131,N,VIIRS,n,2,280.37,1.95,N,0
51.36351,10.48172,298.13,0.39,0.36,2023-01-01,0132,N,VIIRS,n,2,268.71,0.7,N,0
50.96867,8.68314,303.49,0.39,0.36,2023-01-01,0132,N,VIIRS,n,2,278.36,0.63,N,0
50.90191,8.9378,295.61,0.38,0.36,2023-01-01,0132,N,VIIRS,n,2,277.78,0.47,N,0
49.35775,6.74776,316.99,0.4,0.37,2023-01-01,0132,N,VIIRS,n,2,285.34,1.86,N,2
49.3511,6.74556,297.42,0.4,0.37,2023-01-01,0132,N,VIIRS,n,2,281.34,0.4,N,2
49.34777,6.74446,307.79,0.4,0.37,2023-01-01,0132,N,VIIRS,n,2,283.77,0.86,N,2
49.01614,8.61517,298.45,0.38,0.36,2023-01-01,0132,N,VIIRS,n,2,281.98,0.44,N,0
49.05791,8.3289,296.99,0.38,0.36,2023-01-01,0132,N,VIIRS,n,2,285.66,0.81,N,2
47.79028,12.1782,296.61,0.44,0.39,2023-01-01,0133,N,VIIRS,n,2,277.72,0.78,N,0
53.51239,10.03897,332.02,0.41,0.45,2023-01-01,1120,N,VIIRS,n,2,286.75,3.65,D,2
47.79052,12.18341,295.44,0.39,0.36,2023-01-02,0114,N,VIIRS,n,2,277.48,0.68,N,0
53.52415,9.90209,305.06,0.46,0.47,2023-01-03,0053,N,VIIRS,n,2,272.98,1.05,N,3
53.51978,9.90121,318.79,0.46,0.47,2023-01-03,0053,N,VIIRS,n,2,273.9,2.51,N,2
53.52013,9.90275,319.16,0.46,0.47,2023-01-03,0053,N,VIIRS,n,2,274.21,2.74,N,2
53.13852,8.67591,310.83,0.51,0.49,2023-01-03,0054,N,VIIRS,n,2,276.24,2.19,N,2
53.13394,8.67511,297.87,0.51,0.49,2023-01-03,0054,N,VIIRS,n,2,276.23,1.81,N,2
53.13346,8.68286,299.27,0.51,0.49,2023-01-03,0054,N,VIIRS,n,2,276.05,1.96,N,2
53.12936,8.67431,315.96,0.51,0.49,2023-01-03,0054,N,VIIRS,n,2,275.55,1.81,N,2
52.17456,14.61664,298.31,0.45,0.39,2023-01-03,0054,N,VIIRS,n,2,278.98,1.36,N,0
52.17099,14.61555,320.63,0.45,0.39,2023-01-03,0054,N,VIIRS,n,2,278.55,1.36,N,0
51.59208,8.33261,296.11,0.51,0.49,2023-01-03,0054,N,VIIRS,n,2,277.84,0.8,N,0
51.51848,6.96888,296.08,0.58,0.52,2023-01-03,0054,N,VIIRS,n,2,277.71,1.07,N,2
51.37054,6.71,302.73,0.59,0.53,2023-01-03,0054,N,VIIRS,n,2,280.31,4.7,N,2
51.36563,6.70937,336.63,0.59,0.53,2023-01-03,0054,N,VIIRS,n,2,281.78,4.7,N,2
49.24461,6.84848,295.16,0.56,0.51,2023-01-03,0055,N,VIIRS,n,2,270.69,1.13,N,2
53.51183,10.03586,305.49,0.33,0.56,2023-01-03,0234,N,VIIRS,n,2,277.39,0.9,N,2
53.52236,9.90589,308.12,0.33,0.55,2023-01-03,0234,N,VIIRS,n,2,275.12,1.17,N,2
53.47971,9.94996,296.26,0.33,0.55,2023-01-03,0234,N,VIIRS,n,2,276.55,0.33,N,0
53.1377,8.67927,302.37,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,276.08,1.98,N,2
53.13521,8.68767,297.59,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,276.14,1.98,N,2
53.12568,8.70095,323.86,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.92,3.37,N,2
53.13319,8.67562,308.5,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.61,1.98,N,2
53.1287,8.67193,306.02,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.67,2.73,N,3
53.13871,8.67367,305.42,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.44,1.48,N,2
53.13626,8.68209,299.24,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,276.25,1.48,N,2
53.12433,8.70393,323.64,0.62,0.54,2023-01-03,0234,N,VIIRS,n,2,276.41,3.01,N,2
53.13175,8.67846,314.03,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.93,2.43,N,2
53.12725,8.67477,306.51,0.61,0.54,2023-01-03,0234,N,VIIRS,n,2,275.92,2.43,N,3
52.17307,9.66539,307.39,0.36,0.57,2023-01-03,0234,N,VIIRS,n,2,276.19,0.73,N,0
52.1683,9.66136,304.44,0.36,0.57,2023-01-03,0234,N,VIIRS,n,2,275.67,0.73,N,0
51.49397,6.74419,300.22,0.59,0.52,2023-01-03,0234,N,VIIRS,n,2,278.42,2.13,N,2
51.48727,6.71085,298.78,0.58,0.52,2023-01-03,0234,N,VIIRS,n,2,279.12,2.24,N,2
51.48502,6.71873,316.02,0.58,0.52,2023-01-03,0234,N,VIIRS,n,2,280.02,2.24,N,2
51.48501,6.69983,323.28,0.58,0.52,2023-01-03,0234,N,VIIRS,n,2,278.65,4.26,N,2
51.4828,6.70762,318.74,0.58,0.52,2023-01-03,0234,N,VIIRS,n,2,279.22,2.24,N,2
51.48056,6.71549,300.24,0.58,0.52,2023-01-03,0234,N,VIIRS,n,2,277.17,2.24,N,2
51.36506,6.70992,328.42,0.59,0.53,2023-01-03,0234,N,VIIRS,n,2,278.93,4.85,N,2
51.36729,6.70208,309.93,0.59,0.53,2023-01-03,0234,N,VIIRS,n,2,277.82,4.81,N,2
51.36438,6.7034,314.92,0.59,0.53,2023-01-03,0234,N,VIIRS,n,2,276.28,2.76,N,2
52.17509,10.4159,340.63,0.49,0.65,2023-01-03,1043,N,VIIRS,n,2,278.69,4.75,D,2
52.17283,10.40941,334.32,0.49,0.65,2023-01-03,1043,N,VIIRS,n,2,278.17,4.75,D,0
52.17465,10.40981,355.46,0.49,0.65,2023-01-03,1043,N,VIIRS,n,2,278.56,6.25,D,0
52.15159,10.40136,325.66,0.49,0.4,2023-01-03,1223,N,VIIRS,n,2,282.32,3.81,D,0
52.15606,10.4076,341.64,0.49,0.4,2023-01-03,1223,N,VIIRS,n,2,282.55,3.81,D,0
52.16378,10.41954,298.65,0.33,0.55,2023-01-04,0035,N,VIIRS,n,2,275.8,1.27,N,2
